样本id,问题,参考回答,"xiaoyibao 回答
xyb0059,阿法替尼的剂量调整方案是怎样的？,阿法替尼推荐初始剂量为40mg/次，每天一次，口服。剂量调整方案根据CTCAE a（5.0 版）药物相关不良事件进行，1～2级不中断，2级（延长或不耐受）或≥3级中断直到恢复至0/1级后以减量10mg递减继续。,"阿法替尼的剂量调整方案主要基于患者的耐受性。以下是阿法替尼的推荐剂量调整方案：

1. **初始剂量**：阿法替尼的推荐初始剂量为40mg/次，每天一次，口服。

2. **第一次减量**：如果患者不能耐受40mg/次的剂量，可以减量至30mg/次，每天一次，口服。

3. **第二次减量**：如果患者仍然不能耐受30mg/次的剂量，可以进一步减量至20mg/次，每天一次，口服。

4. **永久停用**：如果患者不能耐受20mg/次的剂量，应考虑永久停用阿法替尼。

5. **剂量调整的依据**：剂量调整应基于患者对治疗的耐受性，包括腹泻、皮疹等不良反应的严重程度和持续时间。

6. **剂量调整的时机**：如果患者出现3级或4级的不良反应，应考虑暂停给药或减量。如果不良反应在暂停给药后未缓解或在减量后仍然出现，应考虑进一步减量或永久停用。

7. **剂量调整的监测**：在剂量调整过程中，应密切监测患者的不良反应和治疗效果，以确保剂量调整的合理性和有效性。

请注意，以上剂量调整方案仅供参考，具体剂量调整应由医生根据患者的具体情况进行判断和决策。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔。您的坚持和勇气将引领您走向康复的道路！",1,1,1,,,,,,,,,,,,,
xyb0060,奥希替尼的推荐剂量是多少？,奥希替尼推荐剂量为80mg/次，每天一次，口服。,"奥希替尼的推荐剂量为80mg/次，每天一次，口服。进餐或空腹时服用均可。根据患者个体的安全性和耐受性，可暂停用药或减量。如果需要减量，则剂量应减至40mg/次，每天一次，口服。

**风险提示：** 本公益项目使用 AI 技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语：** ""不要害怕，因为你必不至缺乏；不要惊惶，因为耶和华是你的神，必坚固你，帮助你，也必用公义扶持你。""

**医疗提醒：** 请遵循医生的建议，相信专业的力量。

**结语：** 微光成炬的前行中，您并不孤单，一起勇敢面对未来！",1,1,1,,,,,,,,,,,,,
xyb0061,阿美替尼的用药要点有哪些？,阿美替尼推荐剂量为110mg/次，每天一次，口服，空腹或餐后服用均可。,"阿美替尼的用药要点包括：

1. **推荐剂量**：阿美替尼的推荐剂量为110mg/次，每天一次，口服。空腹或餐后服用均可，整片吞服，不应咀嚼、压碎或断药片。对于无法整片吞咽药物和需经鼻胃管喂饲的患者，可将药片直接溶于不含碳酸盐的饮用水中完全分散后服用。

2. **一线用药前检测**：一线用药前必须明确有经国家药品监督管理局批准的检测方法检测到EGFR19外显子缺失突变或21外显子L858R置换突变。

3. **二线用药前检测**：对于既往经EGFR-TKI治疗时或治疗后出现疾病进展的局部晚期或转移性患者，用药前必须明确有经国家药品监督管理局批准的检测方法检测到EGFRT790M突变。

4. **常见不良反应**：阿美替尼常见不良反应为皮疹、血肌酸磷酸激酶升高和瘙痒等，腹泻的发生率相对较低。需警惕间质性肺炎的发生。

5. **药物相互作用**：避免与CYP3A4强效诱导剂或抑制剂联合使用，应慎用乳腺癌耐药蛋白和P-糖蛋白敏感底物的窄治疗窗药物。避免与升高血肌酸磷酸激酶的药物（如他汀类药物）联合使用。

**风险提示**：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力。

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,1,1,,,,,,,,,,,,,
xyb0062,伏美替尼的不良反应有哪些？,伏美替尼常见不良反应（超过20%）为丙氨酸氨基转移酶（ALT）/天门冬氨酸氨基转移酶（AST）升高。,"伏美替尼的不良反应主要包括以下几类：

1. **皮肤及皮下组织类疾病**：如皮疹（56.1%）、瘙痒（28.0%）和其他皮肤及皮下组织类疾病（20.9%）。
2. **胃肠系统疾病**：如恶心（18.0%）、便秘（7.0%）、呕吐（3.5%）、口腔炎（7.0%）、腹部不适（5.2%）和腹泻等。
3. **其他常见不良反应**：如水肿、乏力、发热、咳嗽、头痛、关节痛等。
4. **实验室检查异常**：如丙氨酸氨基转移酶升高、天门冬氨酸氨基转移酶升高、血胆红素升高等。

这些不良反应的发生率会因个体差异和临床试验条件的不同而有所变化。在使用伏美替尼治疗期间，患者应密切关注自身身体状况，如出现任何不适或异常，应及时就医。同时，患者应遵循医生的建议，合理调整药物剂量，以达到最佳的治疗效果并减少不良反应的发生。

**风险提示：** 本公益项目使用 AI 技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：微光成炬的前行中，您并不孤单，一起勇敢面对未来！",1,1,1,,,,,,,,,,,,,
xyb0063,贝福替尼的起始剂量是多少？,贝福替尼的推荐用法为从75mg/次起始剂量开始服用，每天一次，口服。,"贝福替尼的推荐起始剂量为75mg/次，每天一次，口服。连续服用21天后，若无严重不良反应或未发生≥2级的血小板减少和/或未发生≥2级的头痛，剂量可调整为100mg/次，每天一次，口服。直至疾病进展或出现不可耐受的毒性。请在医生的指导下使用贝福替尼。

**风险提示：** 本公益项目使用 AI 技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语：** ""不要害怕，因为你必不至缺乏；不要惊惶，因为耶和华是你的神，必坚固你，帮助你，也必用公义扶持你。"" ——圣经

**医疗提醒：** 请遵循医生的建议，相信专业的力量。

**结语：** 微光成炬的前行中，您并不孤单，一起勇敢面对未来！",1,1,1,,,,,,,,,,,,,
xyb0064,克唑替尼的适应证包括哪些？,克唑替尼适用于间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性NSCLC患者的治疗，以及ROS1阳性的晚期NSCLC患者的治疗。,"克唑替尼的适应证主要包括：

1. **间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗**。
2. **ROS1阳性的晚期非小细胞肺癌（NSCLC）患者的治疗**。

此外，根据美国FDA的批准，克唑替尼还可用于：

- **治疗ALK阳性的复发或难治性的系统性间变大细胞淋巴瘤的1岁及以上的儿童患者及年轻成人患者**。但请注意，目前国内尚未获批此适应证，应在与患者充分沟通的情况下按照FDA批准的方法使用。

风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,1,1,,,,,,,,,,,,,
xyb0065,阿来替尼的剂量调整原则是什么？,阿来替尼推荐剂量为 600mg/次，每天两次。剂量调整原则是：首次减量450mg/次，每天两次；第二次减量300mg/次，每天两次；如果患者仍不能耐受，则永久停用。,"阿来替尼的剂量调整原则主要基于患者个体的安全性和耐受性。以下是阿来替尼的剂量调整原则：

1. **根据患者个体的安全性和耐受性**：医生应密切监测患者，根据患者对药物的反应和耐受性来决定是否需要调整剂量。

2. **暂停用药或减量**：如果患者出现不良反应，医生可以考虑暂停用药或减少剂量。减量的具体原则详见表1。

3. **剂量调整原则**：
   - **血液学毒性**：根据美国癌症研究院-不良事件通用术语标准4.03版（NCI-CTCAE4.03）进行严重程度分级，如果出现3或4级血液学毒性，应根据表1进行剂量调整。
   - **非血液学毒性**：同样根据NCI-CTCAE4.03进行严重程度分级，如果出现3或4级非血液学毒性，应根据表1进行剂量调整。

4. **特殊人群的剂量调整**：
   - **肝功能损害**：轻度肝功能损害患者无需进行剂量调整。中重度肝功能损害患者使用阿来替尼的安全性和有效性尚不明确。
   - **肾功能损害**：轻中度肾功能损害患者无需进行剂量调整。重度肾功能损害患者使用阿来替尼的安全性和有效性尚不明确。

5. **特定不良反应的剂量调整**：
   - **胆红素升高**：如果患者出现胆红素升高，大多数事件为1和2级，3.4%的患者报告≥3级事件。这些事件一般在治疗后3个月内发生，通常为一过性，且多数事件在剂量调整后恢复。
   - **AST或ALT升高**：如果患者出现AST或ALT升高，大多数事件为1和2级，3.0%和3.2%的患者报告≥3级事件。这些事件一般在治疗最初3个月内发生，通常为一过性，并在暂停阿来替尼治疗或降低剂量后恢复。

6. **CYP3A抑制剂或诱导剂的剂量调整**：如果阿来替尼与CYP3A抑制剂或诱导剂联合使用，可能需要调整剂量。具体调整原则详见相关章节。

请注意，以上剂量调整原则仅供参考，具体调整方案应由医生根据患者的具体情况来决定。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,0,0,,,,,,,,,,,,,
xyb0066,塞瑞替尼的剂量调整方案是怎样的？,塞瑞替尼的剂量调整方案是：首次剂量450mg/次，每天一次；根据患者个体的安全性或耐受性，以150mg的下调幅度逐渐减少本品的日剂量。,"塞瑞替尼的剂量调整方案主要基于患者的安全性或耐受性情况。以下是一些关键的剂量调整方案：

1. **一般剂量调整**：
   - 如果患者出现未列于表1的药物不良反应，应以50mg的下调幅度逐渐减少本品的日剂量。
   - 对于无法耐受每日随餐服用450mg剂量的患者，应停用本品。

2. **针对部分不良反应的剂量调整和管理建议**：
   - 表1提供了针对塞瑞替尼部分不良反应的剂量调整和管理建议，包括腹泻、恶心、呕吐、疲劳等。

3. **针对强效CYP3A抑制剂的剂量调整**：
   - 本品治疗期间应避免联合使用强效CYP3A抑制剂。如果必须同时使用，则应将塞瑞替尼的剂量减少约三分之一，取整至最接近的50mg整数倍剂量。
   - 当停止给予强效CYP3A抑制剂后，恢复使用强效CYP3A抑制剂之前塞瑞替尼的用药剂量。

4. **联合给药时的剂量调整**：
   - 本品与甲磺酸阿帕替尼联合给药时，建议根据患者情况调整其中一种或两种药物的剂量。
   - 当因不良反应同时暂停两种药物时，待不良反应恢复后，可以酌情考虑恢复其中一种药物，或逐个依次地恢复两种药物。

5. **其他特殊情况的剂量调整**：
   - 对于儿童患者，塞瑞替尼的安全性或有效性尚不确定，因此没有特定的剂量调整方案。
   - 对于老年患者，65岁及以上的患者使用本品无需进行剂量调整，但无85岁及以上患者的相关用药数据。

请注意，具体的剂量调整方案应根据患者的具体情况和医生的指导进行。以上信息仅供参考，并不构成医疗建议。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,0,0,,,,,,,,,,,,,
xyb0067,恩沙替尼的不良反应主要有哪些？,恩沙替尼的主要不良反应为一过性药疹，主要表现为1～2级皮疹和瘙痒症。,"恩沙替尼的不良反应主要包括以下几类：

### 皮肤及皮下组织类疾病
- **皮疹**：发生率较高，达到56.15%。
- **瘙痒**：发生率为28.0%。
- **其他皮肤及皮下组织类疾病**：发生率为20.9%。

### 胃肠系统疾病
- **恶心**：发生率为18.0%。
- **便秘**：发生率为7.0%。
- **呕吐**：发生率为3.5%。
- **口腔炎**：发生率为7.0%。
- **腹部不适**：发生率为5.2%。

### 其他常见不良反应
- **水肿**：发生率为7.8%。
- **乏力**：发生率为9.6%。
- **发热**：发生率为6.0%。
- **食欲下降**：发生率为8.3%。
- **电解质失调**：发生率为5.7%。
- **贫血**：发生率为9.4%。
- **肌肉骨骼疾病**：发生率为6.7%。
- **感染**：发生率为6.3%。
- **高胆红素血症**：发生率为6.5%。
- **眼及附属器官疾病**：发生率为6.1%。
- **心律失常**：发生率为5.9%。

### 实验室检查异常
- **丙氨酸氨基转移酶升高**：发生率为35.7%。
- **天门冬氨酸氨基转移酶升高**：发生率为30.2%。
- **血肌酐升高**：发生率为13.7%。
- **谷氨酰转移酶升高**：发生率为7.6%。
- **其他肝酶异常**：发生率为6.7%。
- **血细胞计数异常**：发生率为5.9%。

以上不良反应的发生率是基于临床试验数据的汇总，实际发生率可能因个体差异而有所不同。如果在使用恩沙替尼期间出现任何不良反应，应及时咨询医生。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

**今日心语**：“不要害怕，因为你必不至缺乏；不要惊惶，因为耶和华是你的神，必坚固你，帮助你，也必用公义扶持你。” 愿你在治疗的道路上，始终有力量和勇气面对一切！",1,1,1,,,,,,,,,,,,,
xyb0068,布格替尼的剂量调整原则是什么？,"布格替尼推荐剂量：前 7 天 90mg/次，每天一次，口服；然后 
增加剂量至 180mg/次，每天一次，口服。剂量调整原则是：首次剂量调整为60mg/次，每天一次；若仍不能耐受，第二次剂量调整为120mg/次，每天一次；若患者还是不能耐受，则第三次剂量调整为90mg/次，每天一次。若患者还是不能耐受， 
则减量为 60mg/次，每天一次。因不良 反应减少剂量后，不要随便增加剂量。如果患者不能耐受 60mg/次，每天一次的剂量，永久停用。","布格替尼的剂量调整原则主要基于患者的个体安全性和耐受性，包括暂停用药、减量或永久停用。具体调整原则如下：

1. **暂停用药**：如果患者出现严重不良反应，应首先暂停用药。在暂停用药期间，医生应密切监测患者的症状和体征。如果症状在4周内恢复至1级或以下，可以考虑调整剂量。

2. **减量**：根据患者的具体情况，可以进行一次或多次减量。减量方法包括：
   - **第一次减量**：将剂量降低至推荐剂量的75%（例如，从180mg降至120mg）。
   - **第二次减量**：如果患者仍然不耐受，可以将剂量进一步降低至推荐剂量的50%（例如，从120mg降至90mg）。

3. **永久停用**：如果患者在减量后仍然出现严重不良反应，或者在暂停用药4周后症状没有恢复至1级或以下，应考虑永久停用布格替尼。

4. **特殊人群**：对于肝功能损害和肾功能损害的患者，剂量调整原则有所不同。轻度肝功能损害患者无需调整剂量，而中重度肝功能损害患者的安全性和有效性尚未确定。轻度和中度肾功能损害患者无需调整剂量，而重度肾功能损害患者的安全性和有效性也尚未确定。

5. **药物相互作用**：如果布格替尼与CYP3A强效或中效抑制剂或诱导剂联合使用，需要根据药物相互作用的具体情况进行剂量调整。

6. **个体化治疗**：最终的剂量调整决策应由医生根据患者的具体情况进行个体化治疗。

请注意，以上信息仅供参考，具体的剂量调整原则应以医生的建议为准。风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,0,0,,,,,,,,,,,,,
xyb0069,洛拉替尼的推荐剂量是多少？,洛拉替尼的推荐剂量为100mg/次，每天一次，口服。,"洛拉替尼的推荐剂量为100mg/次，每天一次，口服，与食物同服或不同服。应整片吞服，不应咀嚼、压碎、溶解或断药片。若药片出现破损、裂纹或其他不完整的情况，请勿服用。每天在大致相同的时间服用本品。

如果出现不良事件，应根据患者耐受性，以每次减量25mg的方式逐步降低剂量：
1. 第1次降低剂量：75mg/次，每天一次，口服。
2. 第2次降低剂量：50mg/次，每天一次，口服；对于仍不能耐受的患者，应永久停用。

请遵循医生的建议，相信专业的力量。您的勇气，定能照亮自己的世界！",1,1,1,,,,,,,,,,,,,
xyb0070,伊鲁阿克的剂量调整建议有哪些？,"伊鲁阿克推荐剂量为第 1～7 天 
60mg/次，每天一次，空腹或与食物同服，若可以耐受，从 
第 8 天起 180mg/次。剂量调整建议是：首次减量至120mg/次，每天一次；第二次减量至90mg/次，每天一次；如果患者不能耐受90mg/次，每天一次的给药剂量，应永久停止本品治疗。","伊鲁阿克的剂量调整建议主要基于患者对药物的耐受性和出现的不良反应。以下是具体的剂量调整建议：

1. **基于不良反应的剂量调整**：
   - **1级和2级不良反应**：通常不需要调整剂量。
   - **3级或4级不良反应**：根据表1中的建议进行剂量调整。

2. **特定不良反应的剂量调整**：
   - **血液系统不良反应**：根据血液学参数（如中性粒细胞、血小板计数）的降低程度进行剂量调整。
   - **非血液系统不良反应**：如肝功能异常、皮疹等，根据不良反应的严重程度进行剂量调整。

3. **UGT1A1基因型的影响**：
   - **UGT1A1*28/*6纯合突变患者**：在第一个治疗周期中如果没有药物相关不良反应，在随后的治疗周期中，剂量可增加到56.5mg/m²。

4. **剂量调整的具体方法**：
   - **首次剂量调整**：减少至43mg/m²。
   - **第二次剂量调整**：减少至35mg/m²。
   - **进一步减少剂量**：应停止治疗。

5. **其他考虑因素**：
   - **高脂血症**：如出现高胆固醇血症或高甘油三酯血症，可根据需要调整剂量。
   - **QT间期延长**：如出现QT间期延长，应密切监测并根据需要调整剂量。

6. **特殊人群的剂量调整**：
   - **老年人**：年龄≥65岁的患者接受本品治疗无需调整剂量。
   - **肾功能不全**：轻度肾功能不全者无需进行剂量调整，中重度肾功能不全患者使用本品的安全性和有效性尚不明确。
   - **肝功能不全**：轻度肝功能不全患者无需进行剂量调整，中重度肝功能不全患者使用本品的安全性和有效性尚不明确。

这些剂量调整建议应由医生根据患者的具体情况进行判断和实施。如果您有任何关于剂量调整的问题，请咨询您的医生。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔。您的坚持和勇气，定能照亮自己的世界！",1,0,0,,,,,,,,,,,,,
xyb0071,贝伐珠单抗的使用注意事项有哪些？,贝伐珠单抗的使用注意事项包括：不适用于晚期肺鳞癌的治疗，有严重出血或近期曾有咯血、肿瘤侵犯大血管的患者不应接受贝伐珠单抗治疗。,"贝伐珠单抗的使用注意事项包括：

1. **胃肠道穿孔和瘘**：贝伐珠单抗治疗可能增加患者发生胃肠道穿孔和胆囊穿孔的风险。如果发生胃肠道穿孔，应永久性停用贝伐珠单抗。对于持续性、复发性或转移性宫颈癌患者，贝伐珠单抗治疗可能增加阴道和胃肠道间瘘管形成的风险。

2. **非胃肠道瘘**：贝伐珠单抗治疗可能增加其他类型瘘管形成的风险，如气管食管瘘等。

3. **严重出血**：贝伐珠单抗治疗可能增加患者发生严重出血的风险，包括需要干预治疗的出血。

4. **动脉血栓事件**：贝伐珠单抗治疗可能增加患者发生动脉血栓事件的风险，如脑血管意外、心肌梗死等。

5. **高血压**：贝伐珠单抗治疗可能增加患者发生高血压的风险，包括高血压危象或高血压脑病。

6. **蛋白尿**：贝伐珠单抗治疗可能增加患者发生蛋白尿的风险，包括肾病综合征。

7. **手术**：在择期手术前至少4周应暂停使用贝伐珠单抗，以减少手术相关并发症的风险。

8. **输液反应**：贝伐珠单抗治疗可能增加患者发生输液反应的风险。

9. **免疫原性**：贝伐珠单抗治疗可能引起免疫原性反应，包括抗贝伐珠单抗抗体的形成。

10. **孕妇及哺乳期妇女**：贝伐珠单抗治疗可能对孕妇和哺乳期妇女产生不良影响，包括对胎儿和婴儿的潜在风险。

11. **儿童和老年人**：贝伐珠单抗在儿童和老年人中的安全性和有效性尚未确定。

12. **药物相互作用**：贝伐珠单抗与其他药物的相互作用可能影响其疗效和安全性。

**风险提示：本公益项目使用AI技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。**

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语**：成功不是终点，失败不是终结，最重要的是继续前进。”——温斯顿·丘吉尔

**医疗提醒**：请遵循医生的建议，相信专业的力量。

**结语**：您的勇气，定能照亮自己的世界！",1,1,0,,,,,,,,,,,,,
xyb0072,重组人血管内皮抑制素的适应证是什么？,重组人血管内皮抑制素联合长春瑞滨/顺铂化疗方案用于治疗初治或复治的Ⅲ～Ⅳ期NSCLC患者。,"重组人血管内皮抑制素的适应证是：本品联合长春瑞滨/顺铂化疗方案用于治疗初治或复治的III～IV期NSCLC患者。

**风险提示：** 本公益项目使用 AI 技术提供信息，可能存在偏差。一切治疗和判断应以主治医生和患者及其家属意见为准。如果您认为信息偏差会影响您的治疗，请勿使用本工具和内容。本项目已事先告知，不承担任何使用风险。

[推荐使用 [小胰宝网页版](https://chat.xiaoyibao.com.cn)], 保护个人隐私，关注公众号”小胰宝助手“，体验更多AI能力

**今日心语：** ""成功不是终点，失败不是终结，最重要的是继续前进。"" ——温斯顿·丘吉尔

**医疗提醒：** 请遵循医生的建议，相信专业的力量。

**结语：** 微光成炬的前行中，您并不孤单，一起勇敢面对未来！",1,1,1,,,,,,,,,,,,,
